date,sleep_start,sleep_end,duration_hours
2025-01-23,3,15,12
2025-01-24,0,14,14
2025-01-25,4,16,12
2025-01-26,5,16,11
2025-01-27,4,14,10
2025-01-28,5,17,12
2025-01-29,2,14,12
2025-01-30,4,15,11
2025-01-31,7,14,7
2025-02-01,3,23,20
2025-02-02,5,15,10
2025-02-03,4,11,7
2025-02-04,1,16,15
2025-02-05,0,14,14
2025-02-06,1,21,20
2025-02-07,6,15,9
2025-02-08,2,0,22
2025-02-09,0,21,21
2025-02-10,5,14,9
2025-02-11,5,14,9
2025-02-12,4,16,12
2025-02-13,2,17,15
2025-02-14,0,15,15
2025-02-15,4,21,17
2025-02-16,5,17,12
2025-02-17,3,14,11
2025-02-18,1,15,14
2025-02-19,8,14,6
2025-02-20,3,16,13
2025-02-21,7,16,9
2025-02-22,1,22,21
2025-02-23,0,14,14
